Epoch	Train_Loss	Val_Loss
1	0.311653	0.098574
2	0.025513	0.008425
3	0.003166	0.003516
4	0.002611	0.001863
5	0.001918	0.004244
6	0.002014	0.003600
7	0.001762	0.001596
8	0.001720	0.004861
9	0.001581	0.003189
10	0.001491	0.001255
11	0.001598	0.003961
12	0.001496	0.005839
13	0.001599	0.001579
14	0.000939	0.002041
15	0.000810	0.002090
16	0.000778	0.001887
17	0.000763	0.001924
18	0.000741	0.001930
19	0.000718	0.001841
20	0.000698	0.001852
21	0.000676	0.001730
22	0.000650	0.001494
23	0.000628	0.001589
24	0.000602	0.001481

Final Test Loss: 0.003548
