Epoch	Train_Loss	Val_Loss
1	0.076785	0.003161
2	0.003648	0.001479
3	0.002630	0.008802
4	0.002635	0.004330
5	0.002068	0.002624
6	0.001559	0.002306
7	0.001031	0.002076
8	0.000944	0.001789
9	0.000897	0.001839
10	0.000849	0.001695
11	0.000813	0.001301
12	0.000779	0.001313
13	0.000756	0.001358
14	0.000723	0.001364
15	0.000697	0.001284
16	0.000677	0.001497
17	0.000655	0.001308
18	0.000633	0.001101
19	0.000615	0.001470
20	0.000589	0.001054
21	0.000577	0.001029
22	0.000559	0.001029
23	0.000540	0.000931
24	0.000523	0.000922
25	0.000506	0.000657
26	0.000488	0.001139
27	0.000473	0.000849
28	0.000460	0.000756

Final Test Loss: 0.001609
